accuracy,perf,choose_cluster_threshold_0,choose_cluster_decision_0,choose_cluster_decision_1,assign_points_and_accumulate_threshold_0,assign_points_and_accumulate_decision_0,assign_points_and_accumulate_decision_1,run_kmeans_iterations_threshold_0,run_kmeans_iterations_decision_0,run_kmeans_iterations_decision_1
1.0,1334.401,0,3,0,0,2,1,0,4,1
0.6616682564380552,455.601,0,3,4,0,0,1,0,0,1
0.7089245493212637,200.305,0,3,3,0,4,0,0,1,3
0.9960474518018735,336.081,0,2,0,0,4,4,0,4,1
0.7359986536014731,208.755,0,3,2,0,4,0,0,1,4
0.7089245493212637,187.735,0,3,3,0,3,0,0,1,3
0.7343066948115198,215.767,0,3,2,0,4,0,0,1,3
0.7089245493212637,192.317,0,3,3,0,4,0,0,2,3
0.7185469967547471,564.632,0,3,3,0,1,0,0,1,0
0.663185223940278,151.195,0,3,4,0,3,0,0,1,3
0.6615440839236675,66.556,0,4,4,0,2,4,0,2,2
0.7089245493212637,195.877,0,3,3,0,0,0,0,1,3
0.663185223940278,139.068,0,0,4,0,4,1,0,2,3
0.9356030491592555,598.385,0,2,0,0,4,1,0,2,2
0.6610535849946378,197.348,0,2,4,0,2,2,0,1,0
0.7327995519984116,52.152,0,3,2,0,3,4,0,4,3
0.7099574424127106,153.379,0,2,2,0,2,4,0,4,1
0.7185889059631756,125.694,0,2,3,0,2,4,0,2,1
1.0,1259.326,0,2,1,0,2,1,0,2,0
0.8837620455730796,159.159,0,0,1,0,3,3,0,3,3
0.7343066948115198,221.422,0,3,2,0,3,0,0,4,3
0.7099574424127106,158.072,0,3,2,0,3,4,0,4,0
0.7327995519984116,48.338,0,1,2,0,3,4,0,4,3
0.7099574424127106,137.875,0,3,2,0,3,4,0,4,1
0.7358153082000607,72.638,0,3,2,0,4,2,0,1,4
0.6648921389949114,102.533,0,2,4,0,2,0,0,3,4
0.7267840495803513,288.017,0,0,2,0,4,0,0,2,2
0.8865334968252105,112.96,0,4,0,0,0,4,0,1,3
0.7327995519984116,59.269,0,1,2,0,3,4,0,1,3
0.7327995519984116,50.619,0,1,2,0,4,4,0,4,3
0.7099574424127106,147.812,0,1,2,0,1,4,0,4,1
0.8865334968252105,113.715,0,1,1,0,3,4,0,4,3
0.7249455434380873,77.789,0,1,2,0,3,4,0,4,2
0.7092035711686654,47.512,0,1,3,0,3,4,0,4,3
0.7363664040714493,74.933,0,1,2,0,3,3,0,4,3
0.7092035711686654,62.801,0,1,3,0,3,4,0,4,3
0.7092385571517512,57.933,0,1,3,0,3,3,0,4,3
0.7092035711686654,43.245,0,1,3,0,3,4,0,3,3
0.7092035711686654,47.424,0,2,3,0,3,4,0,4,3
0.7092035711686654,42.879,0,1,3,0,3,4,0,3,3
0.7170809799979065,69.956,0,1,3,0,2,4,0,3,2
0.7092035711686654,44.258,0,2,3,0,3,4,0,3,3
0.7092035711686654,41.929,0,1,3,0,3,4,0,4,3
0.6625825430147073,36.93,0,1,4,0,3,4,0,4,3
0.6615440839236675,55.613,0,1,4,0,3,4,0,4,2
0.6625825430147073,38.568,0,0,4,0,2,4,0,4,3
0.6645553644150825,24.582,0,0,4,0,3,4,0,4,4
0.6625825430147073,33.28,0,2,4,0,3,4,0,4,3
0.6648007626116796,33.626,0,0,4,0,3,3,0,4,4
0.6645553644150825,26.983,0,0,4,0,4,4,0,3,4
0.6625825430147073,40.816,0,0,4,0,3,4,0,4,3
0.6587183484701622,34.215,0,0,3,0,2,4,0,4,4
0.6645553644150825,29.425,0,0,4,0,2,4,0,4,4
0.6645553644150825,25.093,0,0,4,0,4,4,0,4,4
0.6645553644150825,33.001,0,0,4,0,2,4,0,4,4
0.6587183484701622,31.93,0,0,3,0,3,4,0,4,4
0.6645553644150825,25.689,0,0,4,0,2,4,0,4,4
0.6625825430147073,39.118,0,0,4,0,3,4,0,3,3
0.6625825430147073,35.385,0,0,4,0,3,4,0,4,3
0.6645553644150825,27.686,0,0,4,0,2,4,0,4,4
0.7358153082000607,75.108,0,3,2,0,0,2,0,1,4
0.9359117626116852,347.141,0,2,1,0,4,2,0,1,2
0.7185469967547471,479.626,0,1,3,0,2,1,0,1,1
