accuracy,perf,self_box_accumulate_threshold_0,self_box_accumulate_decision_0,self_box_accumulate_decision_1,neighbor_box_accumulate_threshold_0,neighbor_box_accumulate_decision_0,neighbor_box_accumulate_decision_1
0.8759288466014837,2050.8650000000002,0,1,2,0,0,1
0.8704091133430347,2023.0243999999998,0,3,3,0,2,1
0.7918456314217027,1673.4396000000002,0,3,3,0,0,2
0.8759288466014837,2021.4948000000004,0,3,2,0,2,1
0.6816321535873358,1225.5266,0,3,3,0,0,3
0.7918456314217027,1794.3552,0,2,3,0,0,2
0.6816321535873358,1264.182,0,3,3,0,0,3
0.7918456314217027,1808.0807999999997,0,3,3,0,3,2
0.6926323948218233,1335.9968000000001,0,1,1,0,2,3
0.8675381162985026,2345.2866,0,4,4,0,2,1
0.8675381162985026,2602.4466,0,1,4,0,2,1
0.796166650195989,2154.5666,0,3,2,0,3,2
0.970160760748179,2855.7442,0,2,3,0,3,0
0.9664081023543899,2875.8100000000004,0,3,4,0,3,0
0.6802387933148619,1635.9852,0,2,4,0,1,3
0.8759288466014837,2836.6133999999997,0,4,2,0,2,1
1.0,2885.1962,0,4,1,0,1,0
0.796166650195989,2491.2602,0,4,2,0,1,2
0.8930132814229939,3133.8694,0,3,1,0,2,1
0.9664081023543899,2911.4394,0,4,4,0,3,0
0.8704091133430347,2855.7342,0,1,3,0,1,1
0.8704091133430347,2479.2958,0,3,3,0,0,1
0.7918456314217027,2248.8329999999996,0,2,3,0,0,2
0.7918456314217027,2218.3438,0,3,3,0,1,2
0.9664081023543899,2790.4321999999997,0,4,4,0,2,0
0.7918456314217027,2008.4938000000002,0,3,3,0,3,2
0.8704091133430347,2585.5335999999998,0,4,3,0,0,1
0.8675381162985026,2647.977,0,3,4,0,0,1
0.970160760748179,2896.629,0,3,3,0,2,0
0.8095688716439009,2407.5574,0,3,1,0,1,2
0.789599938952432,2163.1344,0,1,4,0,2,2
0.9664081023543899,2822.8592000000003,0,1,4,0,2,0
0.796166650195989,2235.5716,0,2,2,0,2,2
0.8704091133430347,2736.1072,0,2,3,0,1,1
0.8759288466014837,2773.0436,0,2,2,0,1,1
0.796166650195989,2267.5466,0,1,2,0,1,2
0.970160760748179,2385.5514,0,3,3,0,0,0
0.7918456314217027,2295.1666,0,3,3,0,1,2
0.6816321535873358,1604.5626,0,1,3,0,0,3
0.6816321535873358,1659.0976000000003,0,3,3,0,0,3
0.6802387933148619,1549.7592,0,2,4,0,2,3
0.8930132814229939,2808.6762000000003,0,1,1,0,3,1
0.6843150657790682,1661.4268,0,4,2,0,2,3
1.0,2916.1796,0,3,1,0,1,0
0.6816321535873358,1544.6190000000001,0,3,3,0,0,3
0.789599938952432,2031.154,0,3,4,0,0,2
0.6816321535873358,1422.6684,0,3,3,0,0,3
0.6816321535873358,1499.7079999999999,0,3,3,0,0,3
0.8930132814229939,2757.9218,0,1,1,0,1,1
0.7918456314217027,2234.541,0,4,3,0,0,2
0.789599938952432,2221.8023999999996,0,3,4,0,0,2
0.7918456314217027,2275.1574,0,3,3,0,3,2
0.8759288466014837,2847.1734,0,1,2,0,1,1
0.8095688716439009,2396.6818,0,4,1,0,0,2
0.8704091133430347,2942.5964,0,2,3,0,0,1
0.6926323948218233,1607.69,0,4,1,0,0,3
0.796166650195989,2220.4934000000003,0,2,2,0,1,2
0.796166650195989,2202.9664,0,1,2,0,0,2
0.8759288466014837,2793.431,0,2,2,0,0,1
0.8759288466014837,2755.0526,0,2,2,0,0,1
0.6816321535873358,1598.5874,0,3,3,0,0,3
0.7918456314217027,2206.8214,0,4,3,0,0,2
0.7918456314217027,1788.1663999999996,0,4,3,0,0,2
0.6816321535873358,1553.3827999999999,0,3,3,0,0,3
0.8095688716439009,2284.8444000000004,0,3,1,0,0,2
0.7918456314217027,2189.4828,0,3,3,0,1,2
0.789599938952432,2124.28,0,3,4,0,1,2
0.796166650195989,2159.6516,0,3,2,0,0,2
0.789599938952432,2116.4552,0,4,4,0,0,2
0.970160760748179,2791.3541999999993,0,1,3,0,3,0
0.8759288466014837,2736.5080000000003,0,1,2,0,3,1
0.789599938952432,2208.1958000000004,0,3,4,0,2,2
0.9773495970695854,2942.8095999999996,0,1,2,0,0,0
0.6816321535873358,1522.6484,0,3,3,0,0,3
0.6816321535873358,1667.3514,0,3,3,0,0,3
0.8704091133430347,2901.031,0,3,3,0,0,1
0.796166650195989,2452.5144,0,2,2,0,0,2
0.8095688716439009,2491.5932000000003,0,3,1,0,0,2
0.796166650195989,2239.1336,0,3,2,0,0,2
0.796166650195989,2263.7463999999995,0,3,2,0,0,2
1.0,2955.0526,0,3,1,0,3,0
0.9664081023543899,2561.2606000000005,0,2,4,0,3,0
0.970160760748179,2869.9638,0,1,3,0,1,0
0.8759288466014837,2680.4052,0,3,2,0,0,1
0.7918456314217027,2337.5096000000003,0,1,3,0,0,2
0.8759288466014837,2749.7696,0,1,2,0,3,1
0.9664081023543899,2751.3724,0,1,4,0,1,0
0.970160760748179,2799.9012000000002,0,2,3,0,3,0
0.8095688716439009,2251.059,0,1,1,0,3,2
0.8759288466014837,2679.1722,0,2,2,0,3,1
0.796166650195989,2243.2760000000003,0,1,2,0,3,2
0.8704091133430347,2784.8412,0,1,3,0,3,1
0.6816321535873358,1564.2922000000003,0,4,3,0,0,3
0.789599938952432,2249.0134,0,4,4,0,2,2
0.6926323948218233,1673.4720000000002,0,1,1,0,1,3
0.8930132814229939,2593.266,0,4,1,0,2,1
0.7918456314217027,2242.0164,0,1,3,0,3,2
0.8095688716439009,2277.2242,0,2,1,0,3,2
0.8930132814229939,2748.2344,0,1,1,0,3,1
0.9664081023543899,2805.2608,0,4,4,0,2,0
1.0,2935.0204000000003,0,1,1,0,3,0
0.7918456314217027,2273.2438,0,1,3,0,3,2
0.7918456314217027,2317.1052,0,1,3,0,3,2
0.8930132814229939,2752.207,0,1,1,0,3,1
0.9664081023543899,2931.9543999999996,0,4,4,0,3,0
0.6802387933148619,1540.9828,0,2,4,0,2,3
0.6816321535873358,1630.748,0,2,3,0,2,3
0.9773495970695854,2801.2277999999997,0,3,2,0,3,0
0.8704091133430347,2714.2586,0,3,3,0,3,1
0.8930132814229939,2855.0068,0,1,1,0,3,1
0.6926323948218233,1725.257,0,1,1,0,2,3
0.8095688716439009,2326.5768,0,1,1,0,2,2
1.0,2861.9883999999997,0,1,1,0,2,0
0.796166650195989,2142.6912,0,1,2,0,3,2
0.789599938952432,2265.04,0,1,4,0,0,2
0.796166650195989,2324.9752,0,1,2,0,0,2
0.9773495970695854,2820.9916000000003,0,2,2,0,2,0
0.8095688716439009,2102.174,0,1,1,0,2,2
0.6926323948218233,1545.4948,0,1,1,0,3,3
0.6926323948218233,1537.2076000000002,0,1,1,0,3,3
0.9664081023543899,2804.5728,0,1,4,0,1,0
0.6816321535873358,1680.9189999999999,0,2,3,0,1,3
0.789599938952432,2116.0572,0,1,4,0,3,2
0.9773495970695854,2484.8148000000006,0,1,2,0,3,0
0.9773495970695854,2965.2635999999998,0,1,2,0,0,0
0.970160760748179,2530.3182,0,1,3,0,3,0
0.6843150657790682,1613.0578,0,2,2,0,3,3
1.0,2837.9350000000004,0,4,1,0,3,0
0.8930132814229939,2539.258,0,1,1,0,3,1
0.9773495970695854,2615.1298,0,2,2,0,3,0
0.9773495970695854,2615.1578,0,2,2,0,2,0
