accuracy,perf,update_node_rank_threshold_0,update_node_rank_decision_0,update_node_rank_decision_1,pagerank_worker_impl_threshold_0,pagerank_worker_impl_decision_0,pagerank_worker_impl_decision_1
0.9999954613745,3.1698582,0,2,0,0,2,0
0.5715322795825,1.7894902,0,1,2,0,0,0
0.9999963876276,2.9614238,0,2,0,0,1,1
0.9999965190261999,3.6173478,0,0,0,0,1,1
0.9999983748579,2.6972031999999997,0,2,0,0,1,2
0.6307448879181,2.1355969999999997,0,2,1,0,1,1
0.5666268108447,1.8323474000000002,0,1,2,0,1,1
0.5664273082731001,1.8633100000000002,0,2,2,0,1,1
0.9999963415024,3.5131698,0,2,0,0,1,1
0.5688717844094999,1.134107,0,1,2,0,2,2
0.9999961007073999,3.2161713999999995,0,2,0,0,2,1
0.5715322795825,2.5060480000000007,0,2,2,0,2,0
0.9999982161161001,2.0552770000000002,0,1,0,0,1,2
0.9999982982937,2.2196825999999996,0,2,0,0,2,2
0.9999964603741001,3.7181635999999996,0,2,0,0,1,1
0.9999977337593,2.4306692,0,2,0,0,2,2
0.567038717509,1.8627638000000002,0,0,2,0,2,1
0.9999980799237,2.1813182,0,2,0,0,0,2
0.6307448887026,2.2584798,0,1,1,0,2,1
0.6307448900271,2.0560927999999996,0,1,1,0,2,1
0.9999975946291,2.206756,0,0,0,0,0,2
0.999996123124,3.4263554,0,2,0,0,0,1
0.569747872015,1.2531356,0,2,2,0,0,2
0.9999961089529,3.2426048,0,2,0,0,0,1
0.9999962301805001,3.4053618,0,1,0,0,1,1
0.6307448889005001,1.9182042,0,0,1,0,2,1
