accuracy,perf,approx_kb.mlir_parse_embedding_threshold_0,approx_kb.mlir_parse_embedding_decision_0,approx_kb.mlir_parse_embedding_decision_1,approx_kb.mlir_compute_similarities_with_state_threshold_0,approx_kb.mlir_compute_similarities_with_state_decision_0,approx_kb.mlir_compute_similarities_with_state_decision_1
0.9320630843205435,1937.7604,0,1,2,0,1,2
0.959466608539115,2160.6402000000003,0,2,2,0,0,1
0.9320630843205435,1902.0967999999998,0,0,2,0,1,2
0.999999999999995,3104.1258000000003,0,1,1,0,1,0
0.9651770400569127,2293.3584,0,0,2,0,1,0
1.0,4505.7064,0,0,0,0,0,0
0.959466608539115,2238.7573999999995,0,0,2,0,2,1
0.9320630843205435,2023.1738,0,2,2,0,1,2
0.959466608539115,2026.2333999999998,0,0,2,0,1,1
0.9320630843205435,2041.1976,0,1,2,0,1,2
0.9320630843205435,2055.1441999999997,0,0,2,0,0,2
0.9320630843205435,2026.4299999999998,0,0,2,0,0,2
0.999999999999995,3008.7827999999995,0,0,1,0,1,0
0.9899045833500972,4416.6514,0,0,0,0,2,1
0.950455993732826,2601.8152,0,2,1,0,0,2
0.9320630843205435,2049.087,0,0,2,0,2,2
0.9320630843205435,2032.23,0,0,2,0,2,2
0.9320630843205435,2142.7034,0,0,2,0,0,2
0.9320630843205435,1989.5736000000002,0,0,2,0,2,2
0.9320630843205435,1995.5826000000002,0,0,2,0,2,2
0.959466608539115,2068.8282,0,1,2,0,1,1
0.999999999999995,2916.1760000000004,0,1,1,0,1,0
0.9320630843205435,2105.58,0,1,2,0,1,2
0.9320630843205435,2085.7774,0,2,2,0,2,2
0.950455993732826,4155.0104,0,0,0,0,1,2
0.9651770400569127,2300.474,0,0,2,0,1,0
0.9320630843205435,2048.357,0,2,2,0,1,2
0.9320630843205435,2049.3096,0,0,2,0,2,2
0.950455993732826,2763.9854,0,0,1,0,0,2
0.959466608539115,2179.6052000000004,0,2,2,0,1,1
0.9320630843205435,2071.4288,0,0,2,0,0,2
