accuracy,perf,score_term_over_docs_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,lowering_corpus_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,count_and_lower_words_threshold_0,count_and_lower_words_decision_0,count_and_lower_words_decision_1
0.7548422619249433,11371.1906,0,2,0,0,2,3,0,0,0
0.9443000548438732,12047.5256,0,2,0,0,2,1,0,0,0
0.45781833771905933,9562.461800000001,0,2,1,0,0,3,0,0,0
0.6212909020030685,7265.6348,0,1,1,0,2,2,0,0,1
0.3395318663969751,8974.6826,0,2,2,0,1,3,0,0,0
0.925753191250086,8609.878200000001,0,1,0,0,0,0,0,1,1
0.4662428812460925,6986.5966,0,1,2,0,1,2,0,0,1
0.6384228494350094,10429.7608,0,2,1,0,3,1,0,0,0
0.8574306270461133,7343.170199999999,0,2,0,0,3,2,0,0,1
0.6384228494350094,10571.1058,0,0,1,0,0,1,0,1,0
0.925753191250086,8580.946,0,0,0,0,3,0,0,1,1
0.7548422619249433,9403.7646,0,2,0,0,1,3,0,0,0
0.7380335845724091,7074.3866,0,1,0,0,2,3,0,0,1
0.6212909020030685,7192.9952,0,1,1,0,3,2,0,0,1
0.619230751873409,9655.5622,0,1,1,0,1,2,0,1,0
0.46483944261503585,7382.106599999999,0,1,2,0,2,1,0,0,1
0.5454229658480408,8152.102799999999,0,1,2,0,1,0,0,1,1
0.925753191250086,8692.5062,0,2,0,0,2,0,0,1,1
0.619230751873409,9779.216999999999,0,0,1,0,3,2,0,1,0
1.0,11583.3194,0,1,0,0,2,0,0,1,0
0.7548422619249433,8839.694200000002,0,2,0,0,2,3,0,0,0
0.9443000548438732,9656.2096,0,2,0,0,2,1,0,0,0
0.45781833771905933,8324.7532,0,2,1,0,0,3,0,0,0
0.6212909020030685,6557.7404,0,1,1,0,2,2,0,0,1
0.3395318663969751,8213.0488,0,2,2,0,1,3,0,0,0
0.7548422619249433,8148.839999999999,0,2,0,0,2,3,0,0,0
0.9443000548438732,8972.4,0,2,0,0,2,1,0,0,0
0.45781833771905933,7834.3198,0,2,1,0,0,3,0,0,0
0.6212909020030685,6126.390600000001,0,1,1,0,2,2,0,0,1
0.3395318663969751,7664.5160000000005,0,2,2,0,1,3,0,0,0
0.925753191250086,7227.097200000001,0,1,0,0,0,0,0,1,1
0.4662428812460925,5938.66,0,1,2,0,1,2,0,0,1
0.6384228494350094,8717.5614,0,2,1,0,3,1,0,0,0
0.8574306270461133,6282.9838,0,2,0,0,3,2,0,0,1
0.6384228494350094,8735.856,0,0,1,0,0,1,0,1,0
