accuracy,perf,approx_kb.mlir_parse_embedding_threshold_0,approx_kb.mlir_parse_embedding_decision_0,approx_kb.mlir_parse_embedding_decision_1,approx_kb.mlir_compute_similarities_with_state_threshold_0,approx_kb.mlir_compute_similarities_with_state_decision_0,approx_kb.mlir_compute_similarities_with_state_decision_1
0.9651770400569127,1621.241,5,2,2,3,1,0
0.959466608539115,1594.6090000000002,9,2,2,4,2,1
0.9322309873208715,2532.6349999999998,7,0,2,2,0,2
0.9760053087154461,2016.4719999999998,1,2,1,5,1,2
1.0,3307.3839999999996,10,0,2,4,2,0
0.9320630843205435,1476.9216000000001,6,2,2,5,2,1
0.9787316607137001,2066.7494,2,2,1,3,0,0
0.950455993732826,1945.3114,7,1,1,5,2,0
0.9899045833500972,3137.6647999999996,2,0,0,4,0,1
0.950455993732826,2851.7362000000003,9,0,1,4,0,2
0.959466608539115,1542.6598,9,2,2,4,0,1
0.950455993732826,2921.3102,8,0,0,4,2,2
0.9444632677898351,1781.5747999999999,2,0,2,4,1,2
0.9651770400569127,1596.1052,10,2,0,1,1,0
0.9320630843205435,1469.7628,4,2,2,3,1,2
0.9791734815380385,1690.8572,7,2,1,3,1,1
0.9904803800146915,2812.8086,7,0,2,2,2,0
0.9999999999940197,2886.8990000000003,6,0,1,2,0,0
0.9502895016403823,1598.1637999999998,7,2,1,5,2,0
0.9999999999949682,3025.8512,7,0,1,5,0,2
0.9502887749611706,2263.639,4,2,0,4,0,2
0.9787316607137001,2030.8392,2,2,1,5,0,0
0.958544673646664,2187.5049999999997,3,0,2,5,0,0
0.999999999999995,2155.2284,6,1,1,1,0,0
0.9502894678862818,1664.3528000000001,6,2,1,4,1,2
0.9320630843205435,1485.9108,4,2,2,4,1,2
0.9320630843205435,1496.029,3,2,2,3,1,2
0.9320630843205435,1483.6562000000001,4,2,2,4,1,2
0.9320630843205435,1480.3516,4,2,2,3,2,2
0.9320630843205435,1544.8504,8,2,2,2,1,2
0.9147974770589652,1687.3845999999999,4,1,2,3,1,2
0.9147974770589634,2052.933,4,0,2,3,1,2
0.959466608539115,1599.0350000000003,10,2,2,4,2,1
1.0,3320.6072,8,0,0,3,1,0
0.9520735209648115,2986.0186000000003,8,0,2,4,0,1
0.9659462811379902,2128.5458,7,2,0,2,0,0
0.9651770400569127,1624.147,8,2,2,4,0,0
0.9899045833500972,3235.0267999999996,10,0,2,2,0,1
0.9320630843205435,1535.5728000000001,7,2,2,3,1,2
0.9899045833500972,3280.0108,3,0,0,4,2,1
0.959466608539115,1569.0534,8,2,2,4,1,1
0.9320630843205435,1488.7302,4,2,2,2,1,2
0.9320630843205435,1524.4324,5,2,2,3,1,2
0.9320630843205435,1525.139,3,2,2,4,1,2
0.9651770400569127,1755.9342000000001,6,2,2,4,2,0
0.9651770400569127,1667.8097999999998,4,2,2,3,1,0
0.9320630843205435,1460.6994,5,2,2,3,1,2
0.950455993732826,1978.9196,4,1,1,3,1,2
0.959466608539115,1555.1466,5,2,2,3,1,1
0.9320630843205435,1567.1126,4,2,2,3,1,2
0.959466608539115,1582.1054,5,2,2,3,1,1
0.914797471581975,2263.1045999999997,5,0,2,3,1,2
0.9320630843205435,1561.8478,5,2,2,3,0,2
0.9147974715819764,1794.3708,5,1,2,4,1,2
0.950289475664205,1742.3036,5,2,1,3,1,2
0.959466608539115,1587.8,5,2,2,3,0,1
0.9320630843205435,1506.4024,5,2,2,3,2,2
0.9651770400569127,1636.369,5,2,2,3,1,0
0.9320630843205435,1475.6761999999999,5,2,2,3,0,2
0.9147974715819764,1702.351,5,1,2,3,1,2
0.959466608539115,1562.764,7,2,2,4,2,1
0.959466608539115,1575.0762,10,2,2,1,1,1
0.959466608539115,1561.5208,8,2,2,3,1,1
0.959466608539115,1523.2314,5,2,2,3,1,1
0.9651770400569127,1638.1761999999999,10,2,2,4,1,0
0.9899045833500972,2109.7848000000004,8,1,1,1,0,1
