accuracy,perf,self_box_accumulate_threshold_0,self_box_accumulate_decision_0,self_box_accumulate_decision_1,neighbor_box_accumulate_threshold_0,neighbor_box_accumulate_decision_0,neighbor_box_accumulate_decision_1
0.7081465282716664,1239.613,5,3,3,4,2,3
0.6802387933148619,1054.2889999999998,6,3,4,4,3,3
0.6980662405092999,1198.3914,5,3,4,3,2,3
0.6980662405092999,1202.286,5,3,4,3,2,3
0.7065130552491303,1248.5088,7,3,4,4,2,3
0.7272677953682736,1453.0197999999998,5,3,4,5,1,3
0.7162160443432155,1290.475,5,3,4,5,2,3
0.7065130552491303,1239.4154,8,3,4,4,2,3
0.7162160443432155,1289.3964,4,4,4,5,2,3
0.7081465282716664,1254.1367999999998,5,3,3,4,2,3
0.7065130552491303,1249.2977999999998,6,2,4,4,2,3
0.6802387933148619,1071.403,5,3,4,2,3,3
0.7129098597946883,1375.278,5,3,4,4,1,3
0.7081465282716664,1252.9832000000001,17,3,3,4,2,3
0.6802387933148619,1058.8454000000002,5,3,4,4,3,3
0.6802387933148619,1063.9578000000001,5,3,4,4,3,3
0.7162160443432155,1280.8690000000001,5,2,4,5,2,3
0.7065130552491303,1257.3303999999998,7,3,4,4,2,3
0.7162160443432155,1293.2826,8,3,4,5,2,3
0.7162160443432155,1299.6008,5,3,4,5,2,3
0.7081465282716664,1265.8773999999999,5,3,3,4,2,3
0.7081465282716664,1265.7682,9,3,3,4,2,3
0.849878299674303,1757.4364,5,3,4,4,2,0
0.7505081153199171,1579.5446000000002,10,3,4,4,3,0
0.7271901693952307,1338.034,5,3,4,6,2,3
0.6980662405092999,1204.015,5,3,4,3,2,3
0.6980662405092999,1209.2904,4,3,4,3,2,3
0.7162160443432155,1292.1191999999999,5,3,4,5,2,3
0.7271901693952307,1337.7446,5,4,4,6,2,3
0.7162160443432155,1279.818,6,3,4,5,2,3
0.7065130552491303,1239.0822,3,3,4,4,2,3
0.7065130552491303,1245.3256000000001,6,3,4,4,2,3
0.8133487392920855,1766.1358,40,1,3,8,0,3
0.9213762985118986,1965.0330000000001,1,1,1,5,0,1
0.8150534040305629,1613.5405999999998,1,2,1,1,1,2
0.7457985112555308,1532.0466000000001,17,4,3,6,1,3
0.7065130552491303,1242.9842,9,3,4,4,2,3
0.7065130552491303,1250.1576,4,3,4,4,2,3
0.6980662405092999,1194.1254,5,3,4,3,2,3
0.6980662405092999,1194.567,5,3,4,3,2,3
0.8698235052045169,1852.9540000000002,88,3,4,2,1,1
0.8787152193608467,1832.3256000000001,4,1,4,2,0,1
0.789599938952432,1471.0894,1,3,4,5,2,2
0.7162160443432155,1273.1218,5,3,4,5,2,3
0.7065130552491303,1231.2704,1,2,4,4,2,3
0.8277538233032915,1685.8432,5,3,4,4,2,1
