accuracy,perf,choose_cluster_threshold_0,choose_cluster_decision_0,choose_cluster_decision_1,assign_points_and_accumulate_threshold_0,assign_points_and_accumulate_decision_0,assign_points_and_accumulate_decision_1,run_kmeans_iterations_threshold_0,run_kmeans_iterations_decision_0,run_kmeans_iterations_decision_1
0.7907860790957579,170.295,11,0,3,4,0,2,78535,0,3
0.8298971555694046,295.636,16,0,3,8,1,1,123147,3,3
0.8303058858532271,508.971,18,0,3,19,2,4,2361,2,0
0.8034055363312654,86.6,8,2,0,7,2,3,358,4,4
0.8034055363312654,73.575,8,2,0,7,2,3,358,3,4
0.8583532167385997,91.068,8,1,0,7,2,3,358,4,4
0.8036372812186103,82.803,8,2,0,10,2,3,108,4,4
0.8258341571266384,99.563,8,2,0,9,2,3,358,4,3
0.658504352781886,36.443,18,3,1,18,3,2,3182,2,4
0.997489221765332,238.431,11,1,1,14,4,3,25,4,1
0.7022150302173977,59.598,14,4,2,5,4,2,166,1,3
0.7353080537668909,237.303,15,4,3,11,2,1,79,3,0
0.8585832114285518,80.805,18,1,1,18,3,2,3182,2,4
0.658504352781886,34.086,18,3,1,18,3,2,1,2,4
0.7704964728194453,98.909,18,3,1,18,3,0,3182,2,3
0.658504352781886,36.602,18,3,0,17,3,2,3182,2,4
0.7872798212969332,192.752,18,3,1,8,3,2,1,2,1
0.793884423982429,53.201,10,3,1,18,3,2,1,2,4
0.658504352781886,36.445,18,3,3,18,3,2,1,2,4
0.8585832114285518,70.63,16,0,1,18,3,2,1,2,4
0.8262239861535502,319.977,14,0,2,9,2,3,20485,3,1
0.7044965165636441,96.994,17,3,4,17,2,3,672,2,2
0.7504369627113733,72.575,8,0,2,2,4,2,30255,2,4
0.7680298949866788,97.944,17,2,1,17,3,3,1,0,2
0.658504352781886,33.164,18,3,1,18,3,2,1,1,4
0.6587183484701622,27.788,18,3,2,18,4,2,1,2,4
0.658504352781886,33.222,18,3,1,17,3,2,1,2,4
0.658504352781886,36.932,18,3,1,18,3,2,3,2,4
0.6587183484701622,29.622,18,3,2,20,4,2,1,3,4
0.6645553644150825,22.971,18,4,2,19,4,2,8,2,4
0.6959988137049493,23.259,15,4,2,17,4,2,1,2,4
0.7258538639815597,33.615,16,3,2,18,3,2,1,2,4
0.6645553644150825,24.312,18,4,2,19,4,2,5,2,4
0.6645553644150825,20.625,18,4,2,17,4,2,1,2,4
0.6645553644150825,22.294,18,4,2,20,4,2,8,2,4
0.6645553644150825,23.611,18,4,2,19,4,2,66,2,4
0.7191815651335682,77.617,18,4,1,17,4,1,1,2,3
0.6645553644150825,25.217,18,4,2,17,4,3,1,2,4
0.6645553644150825,24.986,18,4,2,17,4,1,1,2,4
0.6645553644150825,24.434,18,4,2,17,4,1,1,2,4
0.6646444173343864,23.004,18,4,2,15,4,2,1,2,4
0.6648007626116796,30.49,19,4,2,19,3,2,1,2,4
0.6645553644150825,25.596,18,4,2,17,4,2,1,1,4
0.6646444173343864,29.287,18,4,2,14,4,2,2,2,4
0.7444885233036097,105.207,13,4,0,13,0,3,4,1,3
0.7497821890534069,257.885,7,1,2,9,1,2,103,2,2
0.8095502025316132,836.567,17,0,3,17,1,2,88134,1,0
0.9976958809559467,270.879,10,1,0,8,4,3,19,3,1
0.6645553644150825,21.772,18,4,2,17,4,2,5,2,4
0.6587183484701622,29.109,18,3,2,17,4,2,3,2,4
0.6645553644150825,23.857,18,4,2,19,4,2,1,3,4
0.6645553644150825,23.848,17,4,2,18,4,2,1,2,4
0.6959988137049493,25.507,14,4,2,17,4,2,1,2,4
0.7350826271117809,29.253,18,2,2,17,4,2,171,2,4
0.6647133117614819,36.677,18,4,4,4,4,2,1,2,4
0.7007041842678748,109.296,18,4,2,17,4,2,1,2,1
0.9972090170144271,603.104,10,0,1,10,3,1,71,2,0
0.816196095103793,143.897,13,3,1,20,2,3,125641,1,2
0.7304086485816264,401.185,11,0,3,17,2,1,572796,0,0
0.6532549810316857,36.789,1,2,4,10,4,2,10536,0,4
0.826714860541361,193.776,15,1,2,11,2,3,11563,0,2
0.9365222851526395,361.097,1,1,1,8,2,1,51,0,2
0.826714860541361,192.622,15,1,2,11,2,3,20284,0,2
0.9354900808072218,281.84,17,1,1,8,1,3,11563,0,2
0.8283886562438704,353.024,15,0,2,11,2,3,1744,0,1
0.7930324196294789,175.609,14,1,3,11,2,3,28297,0,2
0.8681186713211657,207.714,4,3,0,9,3,0,44255,4,3
0.897243686704777,178.1,2,4,0,11,4,1,198175,1,3
0.6669629868538122,165.869,1,1,4,16,1,3,5219,0,2
0.7939619512308576,77.595,8,4,0,6,0,3,14,0,4
0.7453274369261988,71.65,11,4,0,6,0,3,14,0,4
0.7939619512308576,76.533,7,4,0,7,0,3,14,0,4
0.7212949575773342,59.959,13,4,0,6,0,3,14,0,4
0.7939619512308576,76.56,8,4,0,6,0,3,46,0,4
0.8591408325595031,225.139,20,1,0,7,0,1,59747,3,4
0.9977691333071225,429.509,14,1,0,5,0,3,279,4,1
0.997770525423759,364.64,4,1,1,7,2,3,4794,4,0
0.859775905952142,60.544,19,0,4,17,4,4,38,1,4
0.859775905952142,54.214,19,0,0,5,4,4,38,1,4
0.859775905952142,60.256,19,0,4,17,4,2,38,1,4
0.8865334968252105,78.399,19,0,4,5,4,4,38,1,3
0.859775905952142,55.7,19,0,4,17,4,4,78,1,4
0.7489825358242047,60.324,17,2,3,2,0,4,7868,2,3
0.9971378960203203,653.711,13,0,1,13,1,4,3,1,0
0.8945725262180537,528.248,6,3,0,13,2,1,39,1,0
0.6629021198618636,41.011,20,4,3,15,3,2,314680,4,3
0.859775905952142,55.137,16,0,0,5,4,4,202,1,4
0.8587898668014341,64.902,19,0,0,5,4,3,38,1,4
0.859775905952142,55.379,16,0,0,5,4,4,38,1,4
0.859775905952142,53.344,19,0,0,5,4,4,39,1,4
0.859775905952142,55.911,17,0,0,5,4,4,13,1,4
0.859775905952142,55.712,20,0,0,5,4,4,31,1,4
0.8865334968252105,77.27,19,0,0,5,4,4,39,2,3
0.859775905952142,56.1,19,1,0,5,4,4,39,0,4
0.6645553644150825,21.108,19,4,0,5,4,4,39,1,4
0.859775905952142,51.867,19,0,1,5,4,4,39,1,4
0.9960474518018735,209.764,19,0,0,5,4,4,39,1,1
0.8595037676311931,119.142,19,1,0,6,1,4,295,1,4
0.859775905952142,54.353,19,0,0,5,4,4,39,1,4
0.9960474518018735,219.804,19,0,1,5,4,4,393248,1,0
0.7449473164048666,36.748,11,4,1,15,4,4,39,1,4
0.859775905952142,55.206,19,0,4,5,4,4,39,1,4
0.8027082683699245,52.513,11,4,1,15,4,4,39,2,3
0.7449473164048666,36.155,11,4,1,15,4,4,39,4,4
0.7096655935457828,27.214,11,4,2,16,4,4,39,1,4
0.8028178515460783,43.047,11,1,3,15,4,4,39,1,4
0.8588152135328977,199.968,4,4,1,15,1,0,39,4,4
0.6645553644150825,22.192,20,4,1,15,4,4,39,3,4
0.7449473164048666,33.116,11,4,1,15,4,4,39,2,4
0.7449362791267358,45.051,11,4,1,15,3,4,39,4,4
0.7449076641567787,59.138,11,4,1,15,2,4,39,2,4
0.8032697269552285,57.715,11,4,1,15,4,3,39,2,3
0.791647765773263,42.046,7,4,1,15,4,4,39,2,4
0.7449473164048666,34.28,11,4,1,15,4,4,39,1,4
0.7091123023110997,147.051,13,0,4,16,2,1,167965,4,3
0.7339521448968092,66.21,20,2,1,15,2,4,1600,4,3
0.9976412828707373,247.749,10,1,0,12,4,3,7,3,0
0.7167277416124823,265.991,19,4,1,15,1,4,45666,0,1
0.8586234587530759,70.79,11,1,1,15,3,4,151,2,4
0.8625247474527249,154.401,11,4,1,15,4,4,39,2,1
0.7449155265636963,106.901,11,4,1,15,1,4,39,2,4
0.7450159183057793,66.901,11,4,1,15,4,0,403517,2,4
0.7208727808376372,32.773,15,4,1,15,4,4,39,3,4
0.7449473164048666,36.317,12,4,1,15,4,4,39,2,4
0.7449473164048666,36.867,12,4,1,15,4,4,39,2,4
0.7096655935457828,28.224,12,4,2,15,4,4,39,2,4
0.7792508625745698,100.523,15,2,1,4,1,4,47,0,2
0.7110624408833058,195.765,12,3,4,13,3,0,71430,0,1
0.6999533020288864,26.821,11,3,4,15,4,4,387,1,4
0.7334872075897245,159.23,3,1,2,10,4,0,1700,4,2
0.888052654065845,174.438,7,4,1,15,4,4,14102,2,1
0.7933472611853369,40.646,11,3,1,15,4,4,629143,2,4
0.6647482967727019,37.064,11,4,4,15,4,1,39,2,4
0.7449473164048666,38.243,11,4,1,15,4,4,39,0,4
0.9356030491592555,443.97,8,0,0,14,1,1,8036,4,2
0.8560981028212724,169.51,11,3,0,18,4,3,5,1,0
0.7506756396856684,169.148,18,1,4,7,1,4,12,0,3
0.6613815979262638,127.936,1,4,4,10,2,3,459,3,0
0.8850332035299465,177.819,19,1,4,9,1,4,175,3,3
0.6553924131158965,190.968,5,2,4,20,2,2,1055,3,0
0.9016043807197126,843.005,2,3,0,18,1,1,795,4,1
0.7387257607930556,436.827,2,1,3,12,1,1,495,3,1
0.7085556219541695,160.743,13,1,4,9,1,4,1156,3,3
0.8850332035299465,175.456,19,1,4,9,0,4,175,3,3
0.7341880384839582,97.174,19,2,0,9,1,4,175,3,3
0.9339701185859632,273.772,19,1,4,9,1,4,175,3,2
0.7873661866825825,122.697,18,3,0,19,4,3,608765,3,1
0.9316090959086796,144.122,4,0,0,11,3,3,27,4,2
0.7621743865968469,510.657,6,0,3,15,1,0,1,0,1
0.8866394915593232,130.806,10,1,1,6,4,2,362,3,3
1.0,901.287,10,0,1,8,1,0,1298,4,0
0.8378132288567208,50.59,8,3,0,18,4,1,199484,1,4
0.9209897345101951,265.871,9,3,1,11,2,3,29,3,1
0.6646479538357428,36.517,9,4,4,5,3,2,6,1,4
0.8870245492290063,108.71,10,0,1,12,4,2,362,4,3
0.8855972325220597,209.783,10,1,1,6,0,2,362,3,3
0.8863511532350121,236.486,10,1,1,6,4,0,362,3,3
0.8866394915593232,133.671,10,1,1,6,4,2,362,4,3
0.8652871005273742,125.484,1,2,1,15,2,4,115,2,3
0.8870245492290063,106.664,10,0,1,12,4,2,2,4,3
0.7940925751354976,66.472,10,2,1,12,4,2,268933,4,4
0.8840580431949933,130.284,10,0,1,12,3,2,362,4,3
0.8853329697719053,273.496,10,0,1,16,0,2,2,4,3
0.8870245492290063,116.696,10,0,1,10,4,2,8,4,3
0.9372819678330774,163.072,10,0,1,12,4,2,759606,4,2
0.8867797816790081,101.191,10,0,1,13,4,2,2,4,3
